operation,gas_mean,gas_stddev,n
deployment,3414631,0,1
stake_relay,45025,0,1
stake_verifier,110989,16122,3
v1_baseline_submit,821562,10272,10
v3_submit_accountable,816879,5137,10
finalize_record,49398,0,7
open_dispute,168760,0,1
submit_attestation,121835,0,1
submit_attestation_non_resolving,121847,0,1
submit_attestation_resolving_fraud,182934,0,1
submit_attestation_resolving_spurious,274529,0,1
expire_dispute,80391,0,1
open_batch_leaf_dispute,229152,0,1
finalize_batch_k8,54068,0,1
batch_k10,607206,0,1
batch_k50,2433468,0,1
batch_k100,4750621,0,1
batch_per_tx_k10,60721,0,1
batch_per_tx_k50,48669,0,1
batch_per_tx_k100,47506,0,1
